User ID,First Name,Last Name,User Email,Work Address,City,State,Zip Code,Work Phone Number,Email Verified,Educator Role,Number of Students,Organization ID
1,Christopher,Barnes,heidihoffman@chandler-olson.com,4505 Adams Shoal Apt. 328,Romanfurt,NH,89726,326.184.1524,False,Out-of-school,29.4,2
2,Marilyn,Rodriguez,fosterstephanie@hotmail.com,6153 Lee Branch Apt. 590,Robbinsbury,TX,45434,+1-456-462-0573x0478,True,In-school,41.0,40
3,Don,Schmidt,franksmith@moreno.com,075 Ian Way,New Stephaniefurt,DE,63348,(538)374-0429x75068,False,In-school,47.1,79
4,David,Butler,jason12@gmail.com,33523 Stewart Prairie Apt. 648,Nicholaston,MS,76157,+1-402-307-3301,True,Other,46.3,67
5,Audrey,Jennings,jamie89@yahoo.com,239 Arnold Loop Suite 402,New Jamiemouth,HI,99110,+1-001-027-5861x65399,False,Out-of-school,32.9,87
6,Logan,Barber,haneydavid@nelson.com,4794 White Turnpike Suite 650,Hubbardchester,WA,43448,086.479.2798x845,False,Out-of-school,39.3,83
7,Ryan,Ayala,wilsondaniel@bright.org,45642 Michelle Canyon Apt. 695,Lake Laura,DE,82161,+1-990-898-0297x899,True,Out-of-school,17.5,71
8,Timothy,Davis,levi15@yahoo.com,357 Smith Club Apt. 311,Kimfurt,MO,34636,(293)836-0209x049,True,Out-of-school,39.1,29
9,Seth,Young,emily32@yahoo.com,19342 Juan Glen Apt. 185,Wilsonfurt,LA,57332,+1-686-691-0139x8690,True,Out-of-school,29.0,61
10,Jeremy,Patel,diane62@schroeder.com,427 Charles Islands Apt. 232,Brendaborough,IN,50138,(352)275-1314x427,False,Out-of-school,34.7,50
11,Lindsey,Downs,tmullen@hotmail.com,9495 Mejia Drive,South Adamhaven,ME,35223,+1-743-344-9260x77428,True,In-school,15.7,19
12,Michael,Scott,paul92@gmail.com,98561 Jason Dam Suite 484,Michaelfort,AR,14754,733.816.3552x3020,False,Out-of-school,10.3,56
13,James,Smith,kylie18@yahoo.com,357 Smith Club Apt. 311,Petersmouth,MI,944,(135)240-4775x4616,True,Other,20.7,29
14,Wesley,Schneider,moorejohn@gmail.com,10713 Joseph Manor Apt. 746,Port Brian,CO,14824,001-536-158-0901,True,In-school,27.3,92
15,Paul,Ewing,hmyers@yahoo.com,23148 Fisher Branch Apt. 817,North Kristinstad,TX,5628,930-863-7871,False,Other,44.5,23
16,Sandra,Jennings,hrichards@gmail.com,91980 Kimberly Coves,Zacharymouth,ME,50510,(821)999-3420,False,Other,45.5,4
17,Bethany,Henderson,dwood@guerra.biz,167 Jonathan Mission Apt. 857,Lopezstad,AR,13223,576-145-8149x9583,True,Other,39.1,62
18,Gregory,Thomas,allison85@gmail.com,93384 Krista Via,Velezmouth,AZ,17066,734.109.8964x08303,False,In-school,17.2,11
19,Wanda,Ellis,fwise@barton.biz,73321 Patterson Forks,Williamchester,CO,44368,4880490777,False,Out-of-school,22.6,10
20,Michael,Mack,burnskevin@hotmail.com,863 Robert Oval Apt. 004,North Michael,NH,1520,(873)697-7900x6565,False,In-school,30.3,35
21,Kelly,Jones,mmorris@cohen-guerrero.com,8489 Miguel Circle,Sarahton,MA,21335,(434)083-6419,False,In-school,11.7,65
22,Jo,Wells,davisdonna@little-gomez.com,19342 Juan Glen Apt. 185,North David,AK,28511,001-801-404-8973x021,False,Out-of-school,49.2,61
23,Monique,Walker,andrewkline@gray-anderson.biz,99268 Rodgers Parks Apt. 665,South Eric,AZ,95851,247-759-0603,False,Other,45.7,30
24,Dr.,Tiffany,daniel47@moore-black.org,4879 Shelly Avenue Suite 647,New Josephhaven,CA,94927,001-977-599-5884x0769,True,Out-of-school,16.8,34
25,Derek,Arnold,maria92@finley-diaz.com,91980 Kimberly Coves,Bruceview,DE,54822,349.888.9143,True,In-school,49.3,4
26,Melissa,Roberts,james50@johnson.com,809 Ramirez Path,Robertton,TN,21305,(129)841-4010,True,Out-of-school,40.2,20
27,Stacie,Johnson,connor90@gmail.com,83669 Horton Lock,Chrisfurt,WY,58666,7871172797,True,Out-of-school,14.9,66
28,Darrell,Edwards,william43@yahoo.com,397 Hays Pass Apt. 521,Carrollfort,TX,71873,001-971-820-5830,False,Other,15.2,88
29,Kathy,Marquez,rachelnorton@alvarez.com,623 Flynn Fork Apt. 099,East Kimberlyfurt,AR,99280,(420)400-8180,False,Out-of-school,46.6,91
30,Nicholas,Webb,denniscynthia@ward.com,617 Bryan Trail,Patrickberg,TX,19887,283.423.2713,True,In-school,19.2,90
31,Shawn,White,jason71@werner.net,7333 Joshua River,Rojasville,CA,43038,1630229038,False,In-school,48.5,5
32,Jessica,Smith,patrick22@yahoo.com,31658 Megan Pass,West Michelle,NH,88065,707-675-4255,True,Other,15.6,57
33,Cynthia,Martin,edward24@yahoo.com,33523 Stewart Prairie Apt. 648,Zacharytown,CA,23675,8054378415,False,In-school,31.2,67
34,Teresa,Miller,thomasrobinson@cuevas-booker.com,6630 Christian Tunnel,Goldenburgh,MS,40214,554-213-6902,False,Out-of-school,32.9,25
35,Christopher,Dunn,juan37@gmail.com,85158 Amy Valley,New Brandiville,UT,57658,003.238.5965x737,False,Other,45.2,78
36,Sharon,Cain,jbrennan@gmail.com,124 Bass Wells,Thompsonberg,AK,13625,(324)043-2652,False,Other,36.7,7
37,Joseph,Bass,heidi42@yahoo.com,20184 Laura Locks,Dixonmouth,MI,88298,001-771-982-0805x456,False,In-school,42.6,49
38,Matthew,Davis,nlopez@riley-walsh.org,357 Smith Club Apt. 311,New Amandaburgh,NJ,49009,010.906.4078,True,Out-of-school,43.4,29
39,Austin,Miller,bgibson@shannon.com,61714 Lee Stream,East Brian,FL,532,+1-800-992-0279,False,Out-of-school,39.4,33
40,Amber,Foster,larsonjoanna@gmail.com,138 Kyle Isle,South Robertaberg,VA,81015,+1-607-627-4845x7385,False,In-school,33.5,18
41,Philip,Smith,gjohnson@fuentes-powell.com,98152 John Cliffs,West Josephberg,IL,28352,(050)581-6692x24808,True,Other,17.1,58
42,Ryan,Wilkins,chasemartinez@hooper.org,99268 Rodgers Parks Apt. 665,Weberbury,MT,32707,2372425863,False,Other,15.0,30
